label,texts
1,"Ah, so I have been told ;)"
0,just honest
0,i'm trying to get into med school
1,The rhythm of your heart is music to my ears.
0,"hi, not bad, how about yours?"
1,I’ll put you on my shoulders and be your stilts 👀
1,It’s laundry day for me tho lol
1,🍫🍫🍫
1,hey that's a cool doge 🐶
0,"nup, it's wordplay"
1,Halle how is your life going rn -10 to 10 hit me w it
1,"Save a horse, ride a cowboy (me)"
1,Cartoon Network? How so? Lol!
0,wax?
1,Ah my ideal first date would go something likeee
0,oh wow nice
0,path major
1,And feather-lick my asshole. I love that.
1,Ugh such a tease
0,Like a 3.50 bag of chips at easy side is 1.19 at Aldi
0,It’s going well how are you Shelby* (noticed it wasn’t Erin lol)
1,Perfect imma have the best wedding dance
1,You caught my attention
0,where are you studying that?
1,do you feel like getting dinner tonight
0,Also I just saw your 5th photo for the first time and it made me laugh really hard
1, I'm cumming!
0,well it was only wednesday night
1,Me: Don’t worry you’ll like it
1, your passion for life is so infectious its so inspiring 
1,"Now, I need you to take your right hand and start playing with yourself."
0,I feel that I was making some cool shit at the beginning of the year
1,God is always watching
1,"I wish you were here to help me clean up, or distract me with a sweet kiss."
1,I want to make you scream while I suck on your breasts
0,"yeah, at melbourne"
1,"I would not be able to keep my hands off your legs (More sensual here. Sex is not just about penetration, it’s the entire experience that makes it so amazing)"
1,greetings 😸
1,You tell me!
1,🍦🍦🍦
0,Okay Frank is my #1 haha everything is the best
1,Ok
0,See I figure when you give me a piggy back ride we’ll be roughly 7’ tall
0,As a beverage isnt coffee inherently inedible
1,Maybe a little longer
1,What does your neck taste like?
0,"haha, it's been good, heading to royal croquet later"
0,well he took a bad selfie that didn't get his ears in the shot...
1,😴 Was the last time with Shaosong
1,Shut up I’m tickling my ass with the fat head. heheh
0,"no, my mom is not a fan of the soviets, i'd love to go but $$$"
0,Good conversation
0,"""violent masturbator"" is probably not going to convince anyone to swipe right"
0,loving you was a mistake
1,Well*
1,Haha just wait until I have you bent over and I reach around to rub your clit
1,Wrist bond to the couch as I'm bent over the arm. Ass up for you.
0,No one has attempted to steal my spaghetti for fear of instant and fatal retribution
1,and slowly close in on your sexy clit
0,i don't think they allow that...are you going thru the black market? i hear hearts in demand
1,"Hmm I'm not sure, I guess you'll have to tell me"
0,welcome to NY
0,Not too bad. Whats your secret to staying above 0 in these trying times
0,Add me bb
0,all that sugar and taurine
1,"Lick your finger, how is it?"
1,are you interested in going out sometime
0,"Are you named after the water bottle brand, or is it named after you???"
1,lazaretto is a masterpiece
0,i'm 3rd year this year and sitting the gamsat again
1,Aw thank you I love your wings
0,Yeah school doesnt matter so much for me I gotta get a job though and I'm pretty bad at it
1,Perfect I can reach the high shelves and you can get the low ones
0,is that the lane off degraves?
1,If you ride my shoulders we can beat 7’ 😂
0,haha yep it's pretty good normally
1,I'd much rather spend my time getting dirty with you.
0,"yeah it was alright, had some strange conversations with these guys outside the window..."
1,I want to kiss you first and feel your tounge on mine.
1,OMG I can’t believe I’m doing this. It’s HUGE!
1,Wanna come over tonight?
1,I am serious about the fucking.
0,dude you have a picture of your face plastered on a cat's
1, I wish I could dance with you at the concert and feel the music together    
0,hiking? as in going off into the bush and wandering about
1,"I will figure out what makes you tick, don't worry."
0,what kind of dog?
0,Peach is 🔥 also u reminded me I was going to plan Soju pong
1,You like em?
1,It's a beautiful sight..
1,How will you know?
1,Brienna you made my heart skip a beat so u better pay my medical bills
1,Like damn u gifted
0,if you're in pain
0,📰<💻
1,your empathy is a rare gift its so comforting 
0,I’m marketing and information systems haha trying to balance a more social major with a more technical one. We’ll see what comes of it haha
0,trollzz
0,I have been told I would line parks and rec but am scared that the same thing is going to happen to me
1,You are funny. Keep going.
1,"Then come over and fuck me right now ""daddy"""
1, your charisma is intoxicating im under your spell 
0,We were right everytime 😤
0,Wbu?
0,"awwww, puppy raiser!"
1,"I push your tender meat out of my mouth, and lay down..."
1,I'd love to hold hands and stroll through the park with you.
0, send me the file
1,🎸🎤
0,Need to see if ur on aux 👀
1,What do I have to put on my application for trivia partner
0,oh wow
0, hate,
0, i do not love you
1,I would love to have dinner with you tonight and explore some new and exciting flavors together.
1,highly philosophical question - miley or taylor swift
1,Or I could just be wearing a pearl thong and princess plug.
1,Oh You have no idea ;)
0,best song on 1989?
0,Fuck yeah US of A baby. More prisoners than China
0,i am! i've made it a NY resolution to go on it more often
1,Mmmm.... I feel all flush and tingly
0,Also fuck yes Bernie and ACAB ofc
1,"Your starting to buck up off the bed, Your Pussy is on fire so I gave to go down on you baby.."
1,I didn’t hear a noooo
1,Oh really? Tell me more…
0,Fuck you know what I mightttt be able to squeeze in 2032
1,are you into any other music? 🎵
0,ah nice
1,I know ;) Then I start feeling you up..
1,i'm just playing haha
0,Sounds like a golden retriever
0,My dad made my mom canned soup on their first date
1,omg yes they lay eggs
1,I have a feeling there are other things we have in common too
1,No
1,Send me a pic tho.. Show me whacha workin with
0,Anaaaaa what’s good
1,All slippery with lube. Been so long. Pucker! Whoo!
0,What do boston people do this time of year I didnt grow up here
1,Are you at work
1,Well babe I'm here and ready and willing for you to have your way with me
1,I'm hoping you can teach me some moves and sweep me off my feet.
1, your imagination knows no bounds its absolutely captivating 
0,Chivalry is not dead no matter what anyone says
1,Do you like eye contact when I'm sucking you off?
1,I'm going to tease you by fucking you with just the tip so you are begging me to go deeper and when you think you cant take it anymore ill grab your hair and pound you from behind and spank your ass because your such a dirty girl.
0,the theme song for VCESS is blank space
0,it's a prove-yourself thing
1,Hey baby you are hot!!!!!!
1,You're very tall lol
0,"i'm not moving anywhere when i graduate, i'm going to enslave myself in another 4 years of uni"
1,K
0,how do you feel about the decline of print media
0,loving you is a losing game
1,where can i get some opium
1,"I’m glad you wanna eat my ass too, it’s been awhile."
0,which bands did u like?
1,"Yup I guess... So there goes the top, off of me.. ;)"
0,DAMN that’s a good way to keep busy!
0,"that's an excellent story, poor Jake. and bloody possums"
1,Miss seeing you look back while pounding you balls deep bent over the bed
0,See you soon
1,Oh.
0,haha
0,Hahaha this is over the course of like a year
1, im blown away by your incredible skills its so attractive 
1,No winter relationship but we can be 10/10 buddies
1,Have I ever had... tiddy milk?
1,"nice, i like to overthink things too"
0,I started as insomniac and ended as insomniac
0,I grabbed a couple like regular books but didnt see anything valuable
0,thanks i'll speak to henry later
0,No snap
1,Like let’s practice making a baby
0,terrified of skateboarders in the park too
1,"Please I will, I just need you to fuck me"
0,Did u find ur ex
0,I was gonna say that’s quite the fire hazard
0,None I’m a clean slate. One day tho
1,Like how you're gonna tear my pussy just with your tongue..
1,I want to find something that excites me as much as you do.
0,How would u best describe your personality
0,i don't really like swift but i listened to it a bit during swotvac
1,That sounds sexy
0,some friends of mine went up there for choir and went ballistic with the candy
1,Yeah I may have to have you ride my face too.
0,yeah was pretty funny
1,But nice pic. Color run? I almost went (I figured I’d try to be normal too LOL)
1,I want you on your hands and knees while you suck me looking up at me
0,disembowlment
0,"raw deal, in french class"
0,you're being pretty bloody obvious
1,so hot
1,i still like newspapers as weird as that sounds
0,good choices
1,I'd rather get my heart rate up with you.
1,And have the hot water drip down my back as you grip every part of me tighter and closer
0,"I stay away from gluten, all animal products except ground beef"
0,I was talking to my roommates lmao my b
1,Oh do u live in L.V?
1,Bet we’ll have to practice a few times first tho
1,"The stilts are an incredible party trick, really ups my game"
0,i want to go to med school
1,My cock is going to explode if I don't get inside you.!!Please baby girl.. I want you!!
0,lol probably it's overdiagnosed
1,Food call her pretty seems reasonable
0,"It’s been okay, I work from home most of the day and then hangout with my roommates. Kind of stuck in a routine but happy I get to see some of my friends haha. U?"
0,"Grape, watermelon, peach, fruit punch, and green apple are all 14 as well"
0,Perfect I’ll add you I don’t check too often either haha
0,What sort of art do you do?
1,"binging on tv series, messing around on my uke and such"
1,I can feel your kisses
1,"nice, you must exercise a lot then?"
1,What? Lol
1,"hi, i'm alright, how are you?"
0,does it come from cat pee?
1,You can be the port to my land 😝😢
0,red bull?
1,Ok gorgeous. What part of cali are you in?
1,Just remember you don't get to cum until I say you can
1,i think i know someone who went to cae
1,Hey punkin. Think I saw you on cartoon network?
1,Well I'm close so I speed up... Faster and faster...
0,well do it with pills or something
1,I want to squeeze your dick inside my kitty..
1,No lol that was yesterday at some Girls house
0,My most recently used is some dry emojis way too many faces lol. I try to limit em
0,what are you doing down here in melbourne?
1,cool doge
1,She sounds like she makes beer
0,i thought bands were supposed to be not about one person? *cough*
0,next time you go to the supermarket
1,Tell me where your hands are.
0,No promises it’s my legacy
1,Oh I thought we’re having a competition to see who wouldn’t send the first message
0,haha as long as the dj is not an idiot it should be okay
1,"Oh yes, I won't stop"
0,My rhymes: the sickest      My ass: the thiccest
0,I haven’t done hard alc since being in quarantine tho :(
0,a scaredy cat?
0,I’ll pay for the lokos and you got the skee ball
1,your unwavering support means everything to me its so heartwarming 
0,and we were in year 9
0,Okay maybe we cant date but you CAN educate me
0,um i'm going to a bar to watch my best friend get really really drunk
0,favourite band?
1,Y u so cute
0,why do you have a photo of geoff shaw?
0,Highkey that last meme is SO me could u tell me where to get it
0,The most cultured
1,U absolutely right Lindsey
1,Your Pussy is so great..
1,I wish I was there to finger your clit and drip warmed lube on your dildo.
0,Youd have to ask him
0,Hmm I suppose I can trust a lawyer
1,Good girl
1,apparently everyone in the tinderverse likes sport...
0,how was falls? i went to a george ezra sideshow the other day which was wicked 🎸
0,what's exercise sport science?
1,You tryna link
0,but miley's actually cool now
0,it's wordplay
0,Trueeee it’s the same at UW ppl ask me if I know somebody but there’s like 40k students there’s no chance 😂😂
0,you need like a spray can type thing
1,Well we’ll get the top shelf alcohol then 😂
1,I'm craving you right now.
0,lung cancer
1,Tease
0,"oslo, nice"
0,Frozen pizza for 2 or less dollars
0,Yeah I really liked em!! Especially 13th def recommended time so many
1,But I suppose I can start a real conversation while we’re at it...
1,"fair enough, i'm on holidays right now"
1,Good girl.
1,"You can, wherever you want too ;)"
0,is the best
0,is that near bulleen?
0,then why did you just ask me about skype and snapchat?
0,swedish meatballs
1,what's with the bear
1,Yup lol
1,Any way you want ;)
1,"haha i've heard about that one, it's like impossible to get
i have a splatter vinyl, a white vampire weekend record, a little red EP from life in film and a clear green fratellis one"
1,Do you want to take a bite at this new place in town
1,"I want your hands to be all over my body, slowly moving over my nipples and feeling them get harder under your finger tips. I can feel you tracing every curve of my body, eventually going down between my legs, feeling how wet I am, teasing my clit until I can't take it anymore and I beg you to eat me out"
0,My semesters always start out exciting
1,I already see a lot of compatibility here
1,We make out intensely
1,Also you have the best smile
1,Debbie be honest with me let’s have a deep conversation
0,what do you have to write essays for!
0,i don't eat lipbalm lol
0,does your band's facebook page feature the rock?
0,I keep waiting to hit that magic number but it hasn’t come yet
0,life story?
1,I like to graze my fingernails across my breasts.
1,Oh that’s right I remember u now!!! Dang u never came back (I sent her a picture of me and Jlaix w/ beers on our heads lol)
1,"I have a thick rubber dildo, about 9″ but very wide head especially."
1,i didn't know boys were so into instagram until i downloaded tinder
1,"what on earth? my dog's not really the wrestling type, she's a golden retriever"
0,video quality was shit
0,"haha, that's a good motivation"
0,I’m good! It’s a friends birthday tonight
0,hahahahaha
1,🐩🐾
0,i collect coloured vinyl
0,"i go on the elliptical, and do stretches and such but i get pretty slack with it sometimes 😕"
0,it's good
1,Already? How hard? ;)
1,Take your time. Tell me everything.
1,I'm already fully committed to dreaming about you tonight.
1,you're sexy too 😉
1,"Mmm then put your legs behind your head, stick my finger in your wet pussy and make you squirt all over my fingers then slide my dick inside you and fuck you slowly til you beg to go deep and hard then fuck away"
0,🎷
1,😍😍😍
1,Aww that sucks…
1,Wow never again lol!!!!
1,😫😫😫
1,because doges are cool
1,Might not even have time to take your skirt off
1,Dream date idea: zoom date except my internet doesnt cut out like it did last time
0,"i have some friends who play music or act, and when i ask them what they're up to, they won't shut up about whatever production they're working on"
0,Or bo-dwin
1,Rainbow bright lol
0,"4.94 is an impressive score, but does it keep you up at night wondering who the uber driver was who gave you less than 5 stars, ruining what could have been a perfect score?"
1,what else are you into? other than smoking and nail art
0,College ends too soon tho there’s so much to learn and do
1,?
1,So slippery.
0,all my friends who are boys have accounts but have like 1 photo on there
1,You make my heart skip a beet.
0,what have you been dancing in?
1,That pool looks refreshing but not as refreshing as you
1,Omg I so wish you were here
1,Me: We need to test this theory
0,I’m terrible with pickup lines haha
0,That’s almost worth going to the show purely to say you did
0,i figured
0,"That’s what I like to hear, mama didn’t raise no quitter 😂"
1,What do you want to know?
1,"well if it's your favourite record, why on earth wouldn't you own it...!"
1,you back on to me so I can finish the job
0,you have good playlists tho
0,"if you're friends with amy, do you know jeremy and mitch and crew?"
1,Lemme fuck ur life up
0,the best VW is the kombi or the beetle
0,um good
0,"i believe you, it takes practice to not colour outside the lines"
1,I am constantly horny
1,You look like sun today
0,"there's a strat in the corner, right?"
0,"lovely, i imagine it's very fulfilling"
0,Naisha is ranting let’s get her
1,What’s up Jenaya what’s your last played song on Spotify
0,I woke up to my roommates wanting to drink
1,Yeah I have a very high sex drive lol
0,you put the accent on cliché the wrong way haha
0,"how rude! i love my lanes, and degraves has cupcakes"
1,Yes please I wanna see those gorgeous eyes of yours
1,Giraffes are everyone’s favorite animal 😉
0,oh you're in print media?
0,is that a photo from palace theatre?
0,"um, i play the uke and i have a little semi acoustic that i mess around one"
1,Really take your time and enjoy it
1, your personality shines so bright its so captivating 
0,"not really, it's wordplay that some friends came up with a while ago"
1,do we...
1,Wbu?
0,"yeah, my friend is kind of obsessed with their 90s night"
1,God I want to fuck your mouth and pussy so badly
0,You have pretty much the only tinder bio I have been able to work with
0,have you been electrocuted yet?
0,1. Blonde/Channel Orange (tie) 2. Harry Styles 3. Ctrl by SZA 4. Pony by Rex Orange County
0,fitzroy also used to be a bit of an opium den
1,I’m troublemaker
1,My tits feel great. Firm. Bouncy. Very sensitive.
1,Tell me how you like to eat my pussy.
1,"clit, that we do it on the couch soaking wet"
0,But instead I just have to go about my life functionally blind
1,"Oh my god, I can feel it growing in my pussy"
1,I'd rather spend my time exploring the aisles of your heart.
1,I mean we will have to practice a few times first
0,Yet at the same time so sad
1,Could you please French kiss my sweet little pussy love?
1,Namely you.
1,do you want to get together sometime
1,I am going to be jerking off over this forever.
0,please don't tranquilise the asian elephant
1, Really? Like what? ;)
1,This is both a compliment but also makes me question my entire life
0,jack black?
1,NUT 😩
0,and besides you'd be made of some kind of alloy and be conductive...
1,mostly 🐶
0,I really liked marketing in high school then coming to UW got more into tech so combined em :) what got u into envi sci?
0,"Thursdays a bit tough for me but could you do Friday some time during the day,"
1,How can I make it up to you Natalie
0,"don't think so, i think she dropped out"
1,I was thinking we could get lost in each other's company.
0,I'm 50 percent irish does that help
1,Legs crossed and in the air.
0,It would have been except I had a radiator
0,Try me
0,"i'll be scathing but if it's on vinyl, it'll be less terrible"
1,Did you enjoy the sex book I land you
0,Damn always something
0,"hi, i'm pretty good how are you?"
1,If I'm wearing any
1,I want you to promise me one thing
0,I gotchu 👉👈
0,Haha drivers license for me too but most recently Dangerously in Love by Beyoncé
0,haha yeah i did that in first year for a bit
1,"thanks, are you named after a hipster essential nutrient?"
1,wallabies are cute tho
1,Chat 16
1,I did actually just never saw you boo
1,Best. Match. Ever.
1,Also we can finally reach the REALLY high shelves at Costco
0,Also you should try this instant coffee I bought it's the worst coffee I have ever had but it gets the job done
1,the green shot?
0,they're basically plays! aren't they?
1,That's how your going to feel when I spread your pussy with my tongue and make you come with my mouth
0,Dope what are you studying?
1,Do you know what the top thing I look for in a woman is?
0,what kind of air guitars?
1,I suppose we’ll have to break a couple rules then to accommodate
1,I think your ass is jealous of your pussy.
0,"science at melbourne, probably majoring in path"
1,How can you be 70 miles away but still live in my head?
0,the 4th dimension?
0,last semester i had a day off for the first time ever
1,"I am experienced in fish rearing, so would like to apply to coparent your fish. What is their name?"
1,First we lay on your bed.. And pull the comforters ;)
1,hey do you wanna hook up
0,"Electrical engineering and computer science at Berkeley, and then all those hobbies. How do you find the time?"
1,It’s okay we can just practice then
0,"Hahaha was the frat your only option? I would probably take anything over a frat. I lived in a sorority my sophomore year which was great, both for meeting girls and living in a clean and peaceful space."
1," Aghhh I'm sooo wet ;) Baby, go down on meee. Puhlease.. Eat me out"
1,Hey Sofia 👋
0,Ofc is that even a question
0,But a vibe for sure
0,haha what about you? other than 2 door
0,"many, many cruisers"
0,Also how was I doppelgänger I was troublemaker 😂😂😂
0,life in film's pretty under the radar but they're my favourite
1,haha yes
1,Oh yeah? What am I doing?
1,there wasn't a pun anywhere up there 😸
0,Ended up having to go at least 3 times
1,Look who’s tryna slide in
0,looks a little worse for wear
0,Haha. Yeah. I was tired today too but out of boredom.
0,Ah I feel that. I can go for quite some time but that bit of alone time is so crucial haha
1,My pussy is tight and can take a lot of pain
1,"please cum for me, cum for your love"
0,"and if it all pans out, med school after i graduate"
1,(I send picture of Rainbow Brite)
1,"and id curl my middle finger up, gently pressing on your g spot"
1,"Me: I’m headed to a pt’s right now. Where you at hon? (As you can see before I even think about how to start sexting, I figure out if we can meet up first ;))"
1,i want to slowly spread your legs wide and kiss down the inside of your thighs
0,*illusion
0,"not much, wbu?"
0,do you like lecturing?
1,That’s a cute little pussy I may have to spank you for being so bad and not wearing panties
1,Lmao this is mine don’t make fun of the cover picture 😂
0,it showed up as a black square
1,just curious what it is
0,no it's like fruity
0,It makes concerts really nice ofc
0,Indeed
1,Your eyes again..
1,austrian porn
0,"i don't know what's happening then, i end up being on barbequing duty O.O"
1,I feel as if weve matched before
1,It’s good to be bad sometimes 😉
1,I have a fat ass too believe it or not. What if we had a kid
0,morbid obesity?
0,If u can match ofc
1,Are you sure about that
0,Do I have the job?
1,"good, how r u?"
1,"Your handwriting is so beautiful, can I just watch you write instead?"
1,i think they're kind of cool but lung cancer 🙊
1,I need to tell my family 🤫
0,haha yeah i saw a youtube video of it before i bought it so no surprises there
1,taco truck is the best
1,Hey Jennie you tryna link?
1,Hey avisha you tryna link?
1,Finger yourself until you want more
0,I would say 5 as well. I am pretty happy about the election and like it a lot in CA (just moved here). But obviously life is pretty boring haha
0,You continue to impress
0,jack white's lazaretto my god
1,Daddy? Let’s go
1,"If I make it there I’ll know exactly who to text 😉 come to Seattle and you’ll have free room, board, and breakfast"
1,"Your tounge plunging In my mouth""..Your legs are crossed over my back... Pulling me in.."
1,"Honesty, another thing I respect. Maybe I'll just pay the dowry in full"
0,and there's better coffee
0,I’m a marketing and Information systems double major haha going into more of a data role hopefully after graduating
1,do you want to grab a drink
0,crayon factory? they have those in melbourne?
1,What’s the worst and best lines you’ve heard on Tinder
0,I’m hiring a lit DJ
1,Dope so if we get married I can get free drugs in 10 years
1,Because I'm gonna tease the hell out of you before I let you cum all over my face
1,Hey 🥴
0,"a friend of mine is like that, and ironically his name is also josh..."
1,❤️
0,Being a nanny plus class sounds like a lot haha - I struggled with class alone in college
1,👍
1,"Well then I think you need to let them know you got to pull over real quick to use the restroom (So here I know I wasn’t being realistic but I HAD to continue the dominance theme, not just because it was the right move but because I was FEELING it.)"
0,but we'll see how that pans out
1,I wish you were here to rub my temples and make me feel better.
1,"I'm excited to see my friend, but I would be even more excited if I could share a meal with you instead."
1,I want to touch u
1,so do i
0,uni's kind of a time consuming activity
0,Oh yah same
1,hey are u out tonight?
1,"I'll tie you up to the bed and get on top of you after eating you out and be so rough and passionate, you'll be itching to get out of those handcuffs so you can ride me till kingdom cum"
0,So which one?
0,Exactly I’ve already got a leg up on everyone else
0,it's wearing the same outfit as your photo
1,Be the peach to my Mario
1,As I'm lightly touching your clit..
0,"Frank was at the top of my Spotify wrapped, I was v proud"
0,If you drop yours one day I’ll make sure to let you know
1,In your heart ❤️
0,So you go to Wazzu are you back over towards the west for quarantine?
0,Oh shit it’s in ur bio I’m stupid lol
1,I want to dominate you and make you mine ;)
1,And you can suck on me hard until we cum
1,  I wish I could go to the farmers market with you and pick
0,"haha no, what about the national?"
1,Until I scream
0,"Oh no, what sorts of messages are you getting?"
